,Unnamed: 0,symbol,companyName,exchange,industry,website,CEO,sector
5,5,CB,Chubb Ltd.,New York Stock Exchange,Property/Casualty Insurance,http://www.chubb.com,Evan G. Greenberg,Finance
6,6,CHD,"Church & Dwight Co., Inc.",New York Stock Exchange,Household/Personal Care,http://www.churchdwight.com,Matthew Thomas Farrell,Consumer Non-Durables
7,7,CI,Cigna Corp.,New York Stock Exchange,Managed Health Care,http://www.cigna.com,David Michael Cordani,Health Services
8,8,CINF,Cincinnati Financial Corp.,NASDAQ,Property/Casualty Insurance,http://www.cinfin.com,Steven J. Johnston,Finance
9,9,CTAS,Cintas Corp.,NASDAQ,Other Consumer Services,http://www.cintas.com,Scott Douglas Farmer,Consumer Services
10,10,CSCO,"Cisco Systems, Inc.",NASDAQ,Information Technology Services,http://www.cisco.com,Charles H. Robbins,Technology Services
11,11,C,"Citigroup, Inc.",New York Stock Exchange,Financial Conglomerates,http://www.citigroup.com,Michael Louis Corbat,Finance
12,12,CFG,"Citizens Financial Group, Inc. (Rhode Island)",New York Stock Exchange,Regional Banks,http://www.citizensbank.com,Bruce Winfield van Saun,Finance
13,13,CTXS,"Citrix Systems, Inc.",NASDAQ,Packaged Software,http://www.citrix.com,David James Henshall,Technology Services
14,14,CLX,The Clorox Co.,New York Stock Exchange,Household/Personal Care,http://www.thecloroxcompany.com,Benno O. Dorer,Consumer Non-Durables
15,15,CME,"CME Group, Inc.",NASDAQ,Investment Banks/Brokers,http://www.cmegroup.com,Terrence A. Duffy,Finance
16,16,CMS,CMS Energy Corp.,New York Stock Exchange,Electric Utilities,http://www.cmsenergy.com,Patricia K. Poppe,Utilities
17,17,KO,The Coca-Cola Co.,New York Stock Exchange,Beverages: Non-Alcoholic,http://www.coca-colacompany.com,James Quincey,Consumer Non-Durables
18,18,CTSH,Cognizant Technology Solutions Corp.,NASDAQ,Information Technology Services,http://www.cognizant.com,Brian J. Humphries,Technology Services
19,19,CL,Colgate-Palmolive Co.,New York Stock Exchange,Household/Personal Care,http://www.colgatepalmolive.com,Noel R. Wallace,Consumer Non-Durables
20,20,CMCSA,Comcast Corp.,NASDAQ,Cable/Satellite TV,http://corporate.comcast.com,Brian L. Roberts,Consumer Services
21,21,CMA,"Comerica, Inc.",New York Stock Exchange,Major Banks,http://www.comerica.com,Curtis Chatman Farmer,Finance
22,22,CAG,"Conagra Brands, Inc.",New York Stock Exchange,Food: Major Diversified,http://www.conagrabrands.com,Sean M. Connolly,Consumer Non-Durables
23,23,CXO,"Concho Resources, Inc.",New York Stock Exchange,Oil & Gas Production,http://www.concho.com,Timothy A. Leach,Energy Minerals
24,24,COP,ConocoPhillips,New York Stock Exchange,Oil & Gas Production,http://www.conocophillips.com,Ryan M. Lance,Energy Minerals
25,25,ED,"Consolidated Edison, Inc.",New York Stock Exchange,Electric Utilities,http://www.conedison.com,John J. McAvoy,Utilities
26,26,STZ,"Constellation Brands, Inc.",New York Stock Exchange,Beverages: Alcoholic,http://www.cbrands.com,William A. Newlands,Consumer Non-Durables
27,27,COO,"The Cooper Cos., Inc.",New York Stock Exchange,Medical Specialties,http://www.coopercos.com,Albert George White,Health Technology
28,28,CPRT,"Copart, Inc.",NASDAQ,Miscellaneous Commercial Services,http://www.copart.com,Aaron Jayson Adair,Commercial Services
29,29,GLW,"Corning, Inc.",New York Stock Exchange,Electronic Components,http://www.corning.com,Wendell P. Weeks,Electronic Technology
30,30,CTVA,"Corteva, Inc.",New York Stock Exchange,Chemicals: Agricultural,http://www.corteva.com,James C. Collins,Process Industries
31,31,COST,Costco Wholesale Corp.,NASDAQ,Specialty Stores,http://www.costco.com,Walter Craig Jelinek,Retail Trade
32,32,COTY,"Coty, Inc.",New York Stock Exchange,Household/Personal Care,http://www.coty.com,Pierre Laubies,Consumer Non-Durables
33,33,CCI,Crown Castle International Corp.,New York Stock Exchange,Real Estate Investment Trusts,http://www.crowncastle.com,Jay A. Brown,Finance
34,34,CSX,CSX Corp.,NASDAQ,Railroads,http://www.csx.com,James M. Foote,Transportation
35,35,CMI,"Cummins, Inc.",New York Stock Exchange,Trucks/Construction/Farm Machinery,http://www.cummins.com,Norman Thomas Linebarger,Producer Manufacturing
36,36,CVS,CVS Health Corp.,New York Stock Exchange,Drugstore Chains,http://www.cvshealth.com,Larry J. Merlo,Retail Trade
37,37,DHI,"D.R. Horton, Inc.",New York Stock Exchange,Homebuilding,http://www.drhorton.com,David V. Auld,Consumer Durables
38,38,DHR,Danaher Corp.,New York Stock Exchange,Medical Specialties,http://www.danaher.com,Thomas Patrick Joyce,Health Technology
39,39,DRI,"Darden Restaurants, Inc.",New York Stock Exchange,Restaurants,http://www.darden.com,Eugene I. Lee,Consumer Services
40,40,DVA,"DaVita, Inc.",New York Stock Exchange,Medical/Nursing Services,http://www.davita.com,Javier J. Rodriguez,Health Services
41,41,DE,Deere & Co.,New York Stock Exchange,Trucks/Construction/Farm Machinery,http://www.deere.com,John C. May,Producer Manufacturing
42,42,DAL,"Delta Air Lines, Inc.",New York Stock Exchange,Airlines,http://www.delta.com,Edward Herman Bastian,Transportation
43,43,XRAY,"Dentsply Sirona, Inc.",NASDAQ,Medical Specialties,http://www.dentsplysirona.com,Don M. Casey,Health Technology
44,44,DVN,Devon Energy Corp.,New York Stock Exchange,Oil & Gas Production,http://www.devonenergy.com,David A. Hager,Energy Minerals
45,45,FANG,"Diamondback Energy, Inc.",NASDAQ,Oil & Gas Production,http://www.diamondbackenergy.com,Travis D. Stice,Energy Minerals
46,46,DLR,"Digital Realty Trust, Inc.",New York Stock Exchange,Real Estate Investment Trusts,http://www.digitalrealty.com,Arthur William Stein,Finance
47,47,DFS,Discover Financial Services,New York Stock Exchange,Regional Banks,http://www.discoverfinancial.com,Roger C. Hochschild,Finance
48,48,DISCA,"Discovery, Inc.",NASDAQ,Cable/Satellite TV,http://corporate.discovery.com,David M. Zaslav,Consumer Services
49,49,DISCK,"Discovery, Inc.",NASDAQ,Cable/Satellite TV,http://corporate.discovery.com,David M. Zaslav,Consumer Services
0,0,DISH,DISH Network Corp.,NASDAQ,Cable/Satellite TV,http://www.dish.com,W. Erik Carlson,Consumer Services
1,1,DG,Dollar General Corp.,New York Stock Exchange,Discount Stores,http://www.dollargeneral.com,Todd J. Vasos,Retail Trade
2,2,DLTR,"Dollar Tree, Inc.",NASDAQ,Discount Stores,http://www.dollartreeinfo.com,Gary M. Philbin,Retail Trade
3,3,D,"Dominion Energy, Inc.",New York Stock Exchange,Electric Utilities,http://www.dominionenergy.com,Thomas F. Farrell,Utilities
4,4,DOV,Dover Corp.,New York Stock Exchange,Oilfield Services/Equipment,http://www.dovercorporation.com,Richard Joseph Tobin,Industrial Services
5,5,DOW,"Dow, Inc.",New York Stock Exchange,Chemicals: Specialty,http://www.dow.com,James R. Fitterling,Process Industries
6,6,DTE,DTE Energy Co.,New York Stock Exchange,Electric Utilities,http://www.dteenergy.com,Gerardo Norcia,Utilities
7,7,DUK,Duke Energy Corp.,New York Stock Exchange,Electric Utilities,http://www.duke-energy.com,Lynn J. Good,Utilities
8,8,DRE,Duke Realty Corp.,New York Stock Exchange,Real Estate Investment Trusts,http://www.dukerealty.com,James B. Connor,Finance
9,9,DD,"DuPont de Nemours, Inc.",New York Stock Exchange,Chemicals: Major Diversified,http://www.dupont.com,Edward D. Breen,Process Industries
10,10,DXC,DXC Technology Co.,New York Stock Exchange,Data Processing Services,http://www.dxc.technology,Michael J. Salvino,Technology Services
11,11,ETFC,E*TRADE Financial Corp.,NASDAQ,Investment Banks/Brokers,http://www.etrade.com,Michael A. Pizzi,Finance
12,12,EMN,Eastman Chemical Co.,New York Stock Exchange,Chemicals: Major Diversified,http://www.eastman.com,Mark J. Costa,Process Industries
13,13,ETN,Eaton Corp. Plc,New York Stock Exchange,Electrical Products,http://www.eaton.com,Craig Arnold,Producer Manufacturing
14,14,EBAY,"eBay, Inc.",NASDAQ,Other Consumer Services,http://www.ebayinc.com,Scott F. Schenkel,Consumer Services
15,15,ECL,"Ecolab, Inc.",New York Stock Exchange,Chemicals: Specialty,http://www.ecolab.com,Douglas M. Baker,Process Industries
16,16,EIX,Edison International,New York Stock Exchange,Electric Utilities,http://www.edison.com,Pedro J. Pizarro,Utilities
17,17,EW,Edwards Lifesciences Corp.,New York Stock Exchange,Medical Specialties,http://www.edwards.com,Michael A. Mussallem,Health Technology
18,18,EA,"Electronic Arts, Inc.",NASDAQ,Recreational Products,http://www.ea.com,Andrew P. Wilson,Consumer Durables
19,19,EMR,Emerson Electric Co.,New York Stock Exchange,Electrical Products,http://www.emerson.com,David N. Farr,Producer Manufacturing
20,20,ETR,Entergy Corp.,New York Stock Exchange,Electric Utilities,http://www.entergy.com,Leo P. Denault,Utilities
21,21,EOG,"EOG Resources, Inc.",New York Stock Exchange,Oil & Gas Production,http://www.eogresources.com,William Raymond Thomas,Energy Minerals
22,22,EFX,"Equifax, Inc.",New York Stock Exchange,Miscellaneous Commercial Services,http://www.equifax.com,Mark W. Begor,Commercial Services
23,23,EQIX,"Equinix, Inc.",NASDAQ,Real Estate Investment Trusts,http://www.equinix.com,Charles J. Meyers,Finance
24,24,EQR,Equity Residential,New York Stock Exchange,Real Estate Investment Trusts,http://www.equityapartments.com,Mark J. Parrell,Finance
25,25,ESS,"Essex Property Trust, Inc.",New York Stock Exchange,Real Estate Investment Trusts,http://www.essex.com,Michael J. Schall,Finance
26,26,EL,"The Estée Lauder Companies, Inc.",New York Stock Exchange,Household/Personal Care,http://www.elcompanies.com,Fabrizio Freda,Consumer Non-Durables
27,27,EVRG,"Evergy, Inc.",New York Stock Exchange,Electric Utilities,http://www.evergyinc.com,Terry D. Bassham,Utilities
28,28,ES,Eversource Energy,New York Stock Exchange,Electric Utilities,http://www.eversource.com,James J. Judge,Utilities
29,29,RE,Everest Re Group Ltd.,New York Stock Exchange,Property/Casualty Insurance,http://www.everestre.com,Juan C. Andrade,Finance
30,30,EXC,Exelon Corp.,NASDAQ,Electric Utilities,http://www.exeloncorp.com,Christopher M. Crane,Utilities
31,31,EXPE,"Expedia Group, Inc.",NASDAQ,Other Consumer Services,http://www.expediagroup.com,,Consumer Services
32,32,EXPD,"Expeditors International of Washington, Inc.",NASDAQ,Air Freight/Couriers,http://www.expeditors.com,Jeffrey S. Musser,Transportation
33,33,EXR,"Extra Space Storage, Inc.",New York Stock Exchange,Real Estate Investment Trusts,http://www.extraspace.com,Joseph D. Margolis,Finance
34,34,XOM,Exxon Mobil Corp.,New York Stock Exchange,Integrated Oil,http://www.exxonmobil.com,Darren W. Woods,Energy Minerals
35,35,FFIV,"F5 Networks, Inc.",NASDAQ,Computer Communications,http://www.f5.com,François Locoh-Donou,Electronic Technology
36,36,FB,"Facebook, Inc.",NASDAQ,Internet Software/Services,http://www.facebook.com,Mark Elliot Zuckerberg,Technology Services
37,37,FAST,Fastenal Co.,NASDAQ,Wholesale Distributors,http://www.fastenal.com,Daniel Lars Florness,Distribution Services
38,38,FRT,Federal Realty Investment Trust,New York Stock Exchange,Real Estate Investment Trusts,http://www.federalrealty.com,Donald C. Wood,Finance
39,39,FDX,FedEx Corp.,New York Stock Exchange,Air Freight/Couriers,http://www.fedex.com,Frederick Wallace Smith,Transportation
40,40,FIS,"Fidelity National Information Services, Inc.",New York Stock Exchange,Data Processing Services,http://www.fisglobal.com,Gary A. Norcross,Technology Services
41,41,FITB,Fifth Third Bancorp,NASDAQ,Regional Banks,http://www.53.com,Gregory D. Carmichael,Finance
42,42,FE,FirstEnergy Corp.,New York Stock Exchange,Electric Utilities,http://www.firstenergycorp.com,Charles E. Jones,Utilities
43,43,FRC,"First Republic Bank (San Francisco, California)",New York Stock Exchange,Regional Banks,http://www.firstrepublic.com,James H. Herbert,Finance
44,44,FISV,"Fiserv, Inc.",NASDAQ,Data Processing Services,http://www.fiserv.com,Jeffery W. Yabuki,Technology Services
45,45,FLT,"FleetCor Technologies, Inc.",New York Stock Exchange,Miscellaneous Commercial Services,http://www.fleetcor.com,Ronald F. Clarke,Commercial Services
46,46,FLIR,"FLIR Systems, Inc.",NASDAQ,Aerospace & Defense,http://www.flir.com,James J. Cannon,Electronic Technology
47,47,FLS,Flowserve Corp.,New York Stock Exchange,Industrial Machinery,http://www.flowserve.com,Robert Scott Rowe,Producer Manufacturing
48,48,FMC,FMC Corp.,New York Stock Exchange,Chemicals: Agricultural,http://www.fmc.com,Pierre R. Brondeau / Mark A. Douglas,Process Industries
49,49,F,Ford Motor Co.,New York Stock Exchange,Motor Vehicles,http://www.ford.com,James P. Hackett,Consumer Durables
50,50,FTNT,"Fortinet, Inc.",NASDAQ,Computer Communications,http://www.fortinet.com,Ken Xie,Electronic Technology
51,51,FTV,Fortive Corp.,New York Stock Exchange,Electronic Equipment/Instruments,http://www.fortive.com,James A. Lico,Electronic Technology
52,52,FBHS,"Fortune Brands Home & Security, Inc.",New York Stock Exchange,Building Products,http://www.fbhs.com,Nicholas I. Fink,Producer Manufacturing
53,53,FOXA,Fox Corp.,NASDAQ,Broadcasting,http://www.foxcorporation.com,Lachlan Keith Murdoch,Consumer Services
54,54,FOX,Fox Corp.,NASDAQ,Broadcasting,http://www.foxcorporation.com,Lachlan Keith Murdoch,Consumer Services
55,55,BEN,"Franklin Resources, Inc.",New York Stock Exchange,Investment Managers,http://www.franklinresources.com,Jennifer M. Johnson,Finance
56,56,FCX,"Freeport-McMoRan, Inc.",New York Stock Exchange,Other Metals/Minerals,http://www.fcx.com,Richard C. Adkerson,Non-Energy Minerals
57,57,GPS,"Gap, Inc.",New York Stock Exchange,Apparel/Footwear Retail,http://www.gapinc.com,Sonia Syngal,Retail Trade
58,58,GRMN,Garmin Ltd.,NASDAQ,Telecommunications Equipment,http://www.garmin.com,Clifton Albert Pemble,Electronic Technology
59,59,IT,"Gartner, Inc.",New York Stock Exchange,Miscellaneous Commercial Services,http://www.gartner.com,Eugene A. Hall,Commercial Services
60,60,GD,General Dynamics Corp.,New York Stock Exchange,Aerospace & Defense,http://www.generaldynamics.com,Phebe N. Novakovic,Electronic Technology
61,61,GE,General Electric Co.,New York Stock Exchange,Aerospace & Defense,http://www.ge.com,H. Lawrence Culp,Electronic Technology
62,62,GIS,"General Mills, Inc.",New York Stock Exchange,Food: Major Diversified,http://www.generalmills.com,Jeffrey L. Harmening,Consumer Non-Durables
63,63,GM,General Motors Co.,New York Stock Exchange,Motor Vehicles,http://www.gm.com,Mary Teresa Barra,Consumer Durables
64,64,GPC,Genuine Parts Co.,New York Stock Exchange,Wholesale Distributors,http://www.genpt.com,Paul D. Donahue,Distribution Services
65,65,GILD,"Gilead Sciences, Inc.",NASDAQ,Biotechnology,http://www.gilead.com,Daniel P. O'Day,Health Technology
66,66,GL,"Globe Life, Inc.",New York Stock Exchange,Life/Health Insurance,http://www.globelifeinsurance.com,Gary L. Coleman / Larry M. Hutchison,Finance
67,67,GPN,"Global Payments, Inc.",New York Stock Exchange,Data Processing Services,http://www.globalpaymentsinc.com,Jeffrey Steven Sloan,Technology Services
68,68,GS,"The Goldman Sachs Group, Inc.",New York Stock Exchange,Investment Banks/Brokers,http://www.goldmansachs.com,David Michael Solomon,Finance
69,69,GWW,"W.W. Grainger, Inc.",New York Stock Exchange,Wholesale Distributors,http://www.grainger.com,Donald G. Macpherson,Distribution Services
70,70,HRB,"H&R Block, Inc.",New York Stock Exchange,Other Consumer Services,http://www.hrblock.com,Jeffrey J. Jones,Consumer Services
71,71,HAL,Halliburton Co.,New York Stock Exchange,Oilfield Services/Equipment,http://www.halliburton.com,Jeffrey Allen Miller,Industrial Services
72,72,HBI,"Hanesbrands, Inc.",New York Stock Exchange,Apparel/Footwear,http://www.hanes.com/corporate,Gerald W. Evans,Consumer Non-Durables
73,73,HOG,"Harley-Davidson, Inc.",New York Stock Exchange,Motor Vehicles,http://www.harley-davidson.com,Jochen Zeitz,Consumer Durables
74,74,HIG,"The Hartford Financial Services Group, Inc.",New York Stock Exchange,Multi-Line Insurance,http://www.thehartford.com,Christopher J. Swift,Finance
75,75,HAS,"Hasbro, Inc.",NASDAQ,Recreational Products,http://www.hasbro.com/en_us/,Brian D. Goldner,Consumer Durables
